CS_BILLING.CAMPAIGN_BILLING
ID,CS_ID,CAMPAIGN_ID,BILLED_DATE,SUM_SPENT,SUM_PAID,BALANCE
"1","206","7007","2020-01-31 00:00:00","20000000","20000000","0"
"2","206","7007","2020-02-01 00:00:00","0","20000000","20000000"
"3","206","7007","2020-02-02 00:00:00","0","0","20000000"
"4","206","7007","2020-02-03 00:00:00","0","0","20000000"
"5","206","7007","2020-02-04 00:00:00","0","0","20000000"
"6","206","7007","2020-02-05 00:00:00","0","0","20000000"
"7","206","7007","2020-02-06 00:00:00","0","0","20000000"
"8","206","7007","2020-02-07 00:00:00","0","0","20000000"
"9","206","7007","2020-02-08 00:00:00","0","0","20000000"
"10","206","7007","2020-02-09 00:00:00","0","0","20000000"
"11","206","7007","2020-02-10 00:00:00","0","0","20000000"
"12","206","7007","2020-02-11 00:00:00","0","0","20000000"
"13","206","7007","2020-02-12 00:00:00","0","0","20000000"
"14","206","7007","2020-02-13 00:00:00","0","0","20000000"
"15","206","7007","2020-02-14 00:00:00","0","0","20000000"
"16","206","7007","2020-02-15 00:00:00","0","0","20000000"
"17","206","7007","2020-02-16 00:00:00","0","0","20000000"
"18","206","7007","2020-02-17 00:00:00","0","0","20000000"
"19","206","7007","2020-02-18 00:00:00","0","0","20000000"
"20","206","7007","2020-02-19 00:00:00","0","0","20000000"
"21","206","7007","2020-02-20 00:00:00","0","0","20000000"
"22","206","7007","2020-02-21 00:00:00","0","0","20000000"
"23","206","7007","2020-02-22 00:00:00","0","0","20000000"
"24","206","7007","2020-02-23 00:00:00","0","0","20000000"
"25","206","7007","2020-02-24 00:00:00","0","0","20000000"
"26","206","7007","2020-02-25 00:00:00","0","0","20000000"
"27","206","7007","2020-02-26 00:00:00","0","0","20000000"
"28","206","7007","2020-02-27 00:00:00","0","0","20000000"
"29","206","7007","2020-02-28 00:00:00","0","0","20000000"
"30","206","7007","2020-02-29 00:00:00","20000000","0","0"
"31","206","7007","2020-03-01 00:00:00","0","20000000","20000000"
"32","206","7007","2020-03-02 00:00:00","0","0","20000000"
"33","206","7007","2020-03-03 00:00:00","0","0","20000000"
"34","206","7007","2020-03-04 00:00:00","0","0","20000000"
"35","206","7007","2020-03-05 00:00:00","0","0","20000000"
"36","206","7007","2020-03-06 00:00:00","0","0","20000000"
"37","206","7007","2020-03-07 00:00:00","0","0","20000000"
"38","206","7007","2020-03-08 00:00:00","0","0","20000000"
"39","206","7007","2020-03-09 00:00:00","0","0","20000000"
"40","206","7007","2020-03-10 00:00:00","0","0","20000000"
"41","206","7007","2020-03-11 00:00:00","0","0","20000000"
"42","206","7007","2020-03-12 00:00:00","0","0","20000000"
"43","206","7007","2020-03-13 00:00:00","0","0","20000000"
"44","206","7007","2020-03-14 00:00:00","0","0","20000000"
"45","206","7007","2020-03-15 00:00:00","0","0","20000000"
"46","206","7007","2020-03-16 00:00:00","0","0","20000000"
"47","206","7007","2020-03-17 00:00:00","0","0","20000000"
"48","206","7007","2020-03-18 00:00:00","0","0","20000000"
"49","206","7007","2020-03-19 00:00:00","0","0","20000000"
"50","206","7007","2020-03-20 00:00:00","0","0","20000000"
"51","206","7007","2020-03-21 00:00:00","0","0","20000000"
"52","206","7007","2020-03-22 00:00:00","0","0","20000000"
"53","206","7007","2020-03-23 00:00:00","0","0","20000000"
"54","206","7007","2020-03-24 00:00:00","0","0","20000000"
"55","206","7007","2020-03-25 00:00:00","0","0","20000000"
"56","206","7007","2020-03-26 00:00:00","0","0","20000000"
"57","206","7007","2020-03-27 00:00:00","0","0","20000000"
"58","206","7007","2020-03-28 00:00:00","0","0","20000000"
"59","206","7007","2020-03-29 00:00:00","0","0","20000000"
"60","206","7007","2020-03-30 00:00:00","0","0","20000000"
"61","206","7007","2020-03-31 00:00:00","20000000","0","0"
