CS_ID,CAMPAIGN_ID,SRV_TYPE_ID,SRV_ID,BILLING_ID,DT,PRICE,AMOUNT,SUM,COMMENTS
"132","4688","11","12","1","2020-01-01 00:00:00","0","-37","0",null
"132","4688","11","12","1","2020-01-01 00:00:00","0","18263","0",null
"132","4688","11","12","1","2020-01-01 00:00:00","7","2","14",null
"132","4688","11","12","1","2020-01-01 00:00:00","8","2","16",null
"132","4688","11","12","1","2020-01-01 00:00:00","10","9","90",null
"132","4688","11","12","1","2020-01-01 00:00:00","11","10","110",null
"132","4688","11","12","1","2020-01-01 00:00:00","12","3","36",null
"132","4688","11","12","1","2020-01-01 00:00:00","13","5","65",null
"132","4688","11","12","1","2020-01-01 00:00:00","14","3","42",null
"132","4688","11","12","1","2020-01-01 00:00:00","15","20","300",null
"132","4688","11","12","1","2020-01-01 00:00:00","16","44","704",null
"132","4688","11","12","1","2020-01-01 00:00:00","17","14","238",null
"132","4688","11","12","1","2020-01-01 00:00:00","18","21","378",null
"132","4688","11","12","1","2020-01-01 00:00:00","19","128","2432",null
"132","4688","11","12","1","2020-01-01 00:00:00","20","64","1280",null
"132","4688","11","12","1","2020-01-01 00:00:00","21","13","273",null
"132","4688","11","12","1","2020-01-01 00:00:00","22","32","704",null
"132","4688","11","12","1","2020-01-01 00:00:00","23","-1","-23",null
"132","4688","11","12","1","2020-01-01 00:00:00","23","35","805",null
"132","4688","11","12","1","2020-01-01 00:00:00","24","16","384",null
"132","4688","11","12","1","2020-01-01 00:00:00","25","13","325",null
"132","4688","11","12","1","2020-01-01 00:00:00","26","33","858",null
"132","4688","11","12","1","2020-01-01 00:00:00","27","11","297",null
"132","4688","11","12","1","2020-01-01 00:00:00","28","25","700",null
"132","4688","11","12","1","2020-01-01 00:00:00","29","7","203",null
"132","4688","11","12","1","2020-01-01 00:00:00","30","98","2940",null
"132","4688","11","12","1","2020-01-01 00:00:00","31","35","1085",null
"132","4688","11","12","1","2020-01-01 00:00:00","32","40","1280",null
"132","4688","11","12","1","2020-01-01 00:00:00","33","22","726",null
