CS_BILLING.CAMPAIGN_PAYMENTS
ID,CS_ID,CAMPAIGN_ID,PAYMENT_TIME,TRANTIME,SUM_PAID,SUM_PAID_TOTAL,SERIAL_NUM
"1","132","439","2017-04-12 00:01:12","2017-04-12 00:00:00","66666","66666","0"
"2","132","439","2017-05-02 00:01:38","2017-05-02 00:00:00","66666","133332","0"
"3","132","439","2017-06-16 00:01:15","2017-06-16 00:00:00","66666","199998","0"
"4","132","439","2017-07-02 00:01:39","2017-07-02 00:00:00","66666","266664","0"
"5","132","439","2017-08-02 16:27:12","2017-08-02 00:00:00","66666","333330","0"
"6","132","439","2017-09-01 18:45:03","2017-09-01 00:00:00","66666","399996","0"
"7","132","439","2017-10-02 00:01:35","2017-10-02 00:00:00","66666","466662","0"
"8","132","439","2017-12-05 00:01:45","2017-12-05 00:00:00","66666","533328","0"
"9","132","439","2018-01-01 10:02:03","2018-01-01 00:00:00","66666","599994","0"
"10","132","439","2018-02-01 10:00:44","2018-02-01 00:00:00","66666","666660","0"
"11","132","439","2018-03-01 10:00:49","2018-03-01 00:00:00","66666","733326","0"
"12","132","439","2018-04-01 10:00:49","2018-04-01 00:00:00","66666","799992","0"
"13","132","439","2018-05-01 10:02:02","2018-05-01 00:00:00","66666","866658","0"
"14","132","439","2018-06-01 11:01:06","2018-06-01 00:00:00","66666","933324","0"
"15","132","439","2018-07-01 10:00:59","2018-07-01 00:00:00","66666","999990","0"
"16","132","439","2018-08-01 11:00:51","2018-08-01 00:00:00","66666","1066656","0"
"17","132","439","2018-09-11 00:01:22","2018-09-11 00:00:00","66666","1133322","0"
"18","132","439","2018-10-01 08:01:03","2018-10-01 00:00:00","66666","1199988","0"
"19","132","439","2018-11-01 09:02:00","2018-11-01 00:00:00","66666","1266654","0"
"20","132","439","2018-12-01 08:01:11","2018-12-01 00:00:00","66666","1333320","0"
"21","132","439","2019-01-15 12:01:18","2019-01-15 00:00:00","66666","1399986","0"
"22","132","439","2019-02-01 10:01:13","2019-02-01 00:00:00","66666","1466652","0"
"23","132","439","2019-03-01 08:00:39","2019-03-01 00:00:00","66666","1533318","0"
"24","132","439","2019-04-01 16:00:48","2019-04-01 00:00:00","66666","1599984","0"
"25","132","439","2019-05-01 08:03:10","2019-05-01 00:00:00","66666","1666650","0"
"26","132","439","2019-06-01 08:01:04","2019-06-01 00:00:00","64","1666714","0"
"27","132","439","2019-07-01 08:01:01","2019-07-01 00:00:00","66666","1733380","0"
"28","132","439","2019-08-01 08:02:48","2019-08-01 00:00:00","66666","1800046","0"
"29","132","439","2019-09-01 08:01:57","2019-09-01 00:00:00","66666","1866712","0"
"30","132","439","2019-10-01 08:00:18","2019-10-01 00:00:00","66666","1933378","0"
"31","132","439","2019-11-01 10:00:11","2019-11-01 00:00:00","66666","2000044","0"
"32","132","439","2019-12-01 08:00:40","2019-12-01 00:00:00","66666","2066710","0"
"33","132","439","2020-01-01 08:00:49","2020-01-01 00:00:00","66666","2133376","0"
"34","132","439","2020-02-01 18:53:40","2020-02-01 00:00:00","66666","2200042","0"
"35","132","439","2020-03-01 08:02:22","2020-03-01 00:00:00","66666","2266708","0"
