CS_BILLING.CAMPAIGN_CHARGES
CS_ID,CAMPAIGN_ID,SRV_TYPE_ID,SRV_ID,BILLING_ID,DT,PRICE,AMOUNT,SUM,COMMENTS
"132","439","8","9","1","2020-01-31 00:00:00","0","-8","0",null
"132","439","8","9","1","2020-01-31 00:00:00","0","305","0",null
"132","439","8","9","2","2020-02-01 00:00:00","0","33","0",null
"132","439","8","9","2","2020-02-01 00:00:00","4","1","4",null
"132","439","8","9","2","2020-02-01 00:00:00","34","1","34",null
"132","439","8","9","2","2020-02-01 00:00:00","40","1","40",null
"132","439","8","9","2","2020-02-01 00:00:00","54","1","54",null
"132","439","8","9","2","2020-02-01 00:00:00","77","1","77",null
"132","439","8","9","2","2020-02-01 00:00:00","80","1","80",null
"132","439","8","9","2","2020-02-01 00:00:00","84","1","84",null
"132","439","8","9","3","2020-02-02 00:00:00","0","302","0",null
"132","439","8","9","3","2020-02-02 00:00:00","1","3","3",null
"132","439","8","9","3","2020-02-02 00:00:00","3","1","3",null
"132","439","8","9","3","2020-02-02 00:00:00","4","2","8",null
"132","439","8","9","3","2020-02-02 00:00:00","8","1","8",null
"132","439","8","9","3","2020-02-02 00:00:00","9","1","9",null
"132","439","8","9","3","2020-02-02 00:00:00","10","1","10",null
"132","439","8","9","3","2020-02-02 00:00:00","16","1","16",null
"132","439","8","9","3","2020-02-02 00:00:00","24","2","48",null
"132","439","8","9","3","2020-02-02 00:00:00","29","1","29",null
"132","439","8","9","3","2020-02-02 00:00:00","30","1","30",null
"132","439","8","9","3","2020-02-02 00:00:00","32","1","32",null
"132","439","8","9","3","2020-02-02 00:00:00","33","3","99",null
"132","439","8","9","3","2020-02-02 00:00:00","34","1","34",null
"132","439","8","9","3","2020-02-02 00:00:00","36","1","36",null
"132","439","8","9","3","2020-02-02 00:00:00","38","1","38",null
"132","439","8","9","3","2020-02-02 00:00:00","40","1","40",null
"132","439","8","9","3","2020-02-02 00:00:00","42","3","126",null
"132","439","8","9","3","2020-02-02 00:00:00","44","1","44",null
"132","439","8","9","3","2020-02-02 00:00:00","49","2","98",null
"132","439","8","9","3","2020-02-02 00:00:00","52","1","52",null
"132","439","8","9","3","2020-02-02 00:00:00","53","4","212",null
"132","439","8","9","3","2020-02-02 00:00:00","55","1","55",null
"132","439","8","9","3","2020-02-02 00:00:00","60","1","60",null
"132","439","8","9","3","2020-02-02 00:00:00","61","1","61",null
"132","439","8","9","3","2020-02-02 00:00:00","64","1","64",null
"132","439","8","9","3","2020-02-02 00:00:00","66","1","66",null
"132","439","8","9","3","2020-02-02 00:00:00","70","1","70",null
"132","439","8","9","3","2020-02-02 00:00:00","71","1","71",null
"132","439","8","9","3","2020-02-02 00:00:00","72","1","72",null
"132","439","8","9","3","2020-02-02 00:00:00","73","1","73",null
"132","439","8","9","3","2020-02-02 00:00:00","74","1","74",null
