CS_BILLING.DS_CUTOFF_ARCHIVE
CS_ID,ID,DATASOURCE_ID,FROM_TIME,TO_TIME,TYPE_ID,CUSTOM_TAG
"132","1210","438","2016-03-31 13:50:00","2017-01-26 14:50:00","1",null
"132","1544","438","2017-02-01 00:00:00","2017-02-20 16:35:00","1",null
"132","1571","438","2017-03-01 00:00:00","2017-04-12 00:05:00","1",null
"132","1663","438","2017-05-01 00:00:00","2017-05-02 00:05:01","1",null
"132","1721","438","2017-06-01 00:00:00","2017-06-01 00:15:00","1",null
"132","1736","438","2017-06-01 00:20:00","2017-06-16 00:05:01","1",null
"132","1784","438","2017-07-01 00:00:00","2017-07-02 00:05:01","1",null
"132","1830","438","2017-08-01 00:00:00","2017-08-02 16:30:00","1",null
"132","1901","438","2017-09-01 00:00:00","2017-09-01 18:50:01","1",null
"132","1923","438","2017-10-01 00:00:00","2017-10-02 00:05:02","1",null
"132","2003","438","2017-11-01 00:00:00","2017-12-05 00:05:00","1",null
"132","2634","438","2018-01-01 00:00:00","2018-01-01 10:05:01","1",null
"132","2954","438","2018-02-01 00:00:00","2018-02-01 10:05:01","1",null
"132","3291","438","2018-03-01 00:00:00","2018-03-01 10:05:01","1",null
"132","3642","438","2018-04-01 00:00:00","2018-04-01 10:05:02","1",null
"132","4066","438","2018-05-01 00:00:00","2018-05-01 10:05:00","1",null
"132","4392","438","2018-06-01 00:00:00","2018-06-02 00:20:00","1",null
"132","5237","438","2018-07-01 00:00:00","2018-07-01 10:05:00","1",null
"132","5722","438","2018-08-01 00:00:00","2018-08-01 11:05:00","1",null
"132","9115","438","2018-09-01 00:00:00","2018-09-11 00:05:00","1",null
"132","9905","438","2018-10-01 00:00:00","2018-10-02 01:00:00","1",null
"132","10928","438","2018-11-01 00:00:00","2018-11-02 00:40:00","1",null
"132","11701","438","2018-12-01 00:00:00","2018-12-02 00:55:00","1",null
"132","11776","438","2018-12-05 11:00:10","2018-12-06 11:00:08","6",null
"132","12660","438","2018-12-31 11:00:12","2019-01-15 11:00:14","6",null
"132","12676","438","2019-01-01 00:00:00","2019-01-15 12:05:00","1",null
"132","13322","438","2019-02-01 00:00:00","2019-02-02 01:00:14","1",null
"132","13911","438","2019-02-26 07:30:00","2019-03-01 08:05:00","1",null
"132","15148","438","2019-03-24 20:05:01","2019-04-01 16:05:01","1",null
"132","16374","438","2019-04-30 23:51:49","2019-06-01 08:05:07","1",null
"132","17261","438","2019-06-02 11:00:25","2019-06-03 11:00:23","6",null
"132","18087","438","2019-07-01 00:00:00","2019-07-01 08:05:08","1",null
"132","19271","438","2019-08-01 00:00:00","2019-08-01 00:00:00","1",null
